country,scenario,year,naphta_total,naphta_domestic,naphta_imported,electricity_demand_from_naphta,ch4_demand_from_naphta,h2_demand_from_naphta,demand_factor,import_share
AT,decarbo-eu-naphta,2019,10587096.999999998,10587096.999999998,0.0,621039.1100199999,168546.58423999997,94648.64717999999,1.0,0.0
AT,decarbo-eu-naphta,2020,10534161.514999999,10534161.514999999,0.0,617933.9144698998,167703.85131879998,94175.40394409999,0.995,0.0
AT,decarbo-eu-naphta,2021,10481490.707424998,10481490.707424998,0.0,614844.2448975503,166865.33206220597,93704.52692437949,0.990025,0.0
AT,decarbo-eu-naphta,2022,10429083.253887873,10429083.253887873,0.0,611770.0236730626,166031.00540189494,93236.00428975759,0.985074875,0.0
AT,decarbo-eu-naphta,2023,10376937.837618435,10376937.837618435,0.0,608711.1735546973,165200.8503748855,92769.8242683088,0.9801495006250001,0.0
AT,decarbo-eu-naphta,2024,10325053.148430342,10325053.148430342,0.0,605667.6176869238,164374.84612301106,92305.97514696726,0.9752487531218751,0.0
AT,decarbo-eu-naphta,2025,10273427.88268819,10273427.88268819,0.0,602639.2795984893,163552.971892396,91844.44527123243,0.9703725093562657,0.0
AT,decarbo-eu-naphta,2026,10067959.325034427,10067959.325034427,0.0,590586.4940065194,160281.91245454806,90007.55636580777,0.9509650591691404,0.0
AT,decarbo-eu-naphta,2027,9866600.13853374,9866600.13853374,0.0,578774.7641263892,157076.27420545713,88207.40523849163,0.9319457579857576,0.0
AT,decarbo-eu-naphta,2028,9669268.135763064,9669268.135763064,0.0,567199.2688438613,153934.74872134798,86443.2571337218,0.9133068428260425,0.0
AT,decarbo-eu-naphta,2029,9475882.773047803,9475882.773047803,0.0,555855.283466984,150856.053746921,84714.39199104736,0.8950407059695216,0.0
AT,decarbo-eu-naphta,2030,9191606.289856369,9191606.289856369,0.0,539179.6249629746,146330.3721345134,82172.96023131594,0.8681894847904359,0.0
AT,decarbo-eu-naphta,2031,8915858.101160675,8915858.101160675,0.0,523004.2362140852,141940.46097047796,79707.77142437643,0.8421438002467228,0.0
AT,decarbo-eu-naphta,2032,8648382.358125856,8648382.358125856,0.0,507314.10912766267,137682.24714136362,77316.53828164516,0.816879486239321,0.0
AT,decarbo-eu-naphta,2033,8388930.887382079,8388930.887382079,0.0,492094.68585383275,133551.7797271227,74997.04213319579,0.7923731016521414,0.0
AT,decarbo-eu-naphta,2034,8137262.960760618,8137262.960760618,0.0,477331.8452782178,129545.22633530904,72747.13086919991,0.7686019086025772,0.0
AT,decarbo-eu-naphta,2035,7811772.442330192,7811772.442330192,0.0,458238.571467089,124363.41728189666,69837.24563443192,0.737857832258474,0.0
AT,decarbo-eu-naphta,2036,7499301.544636984,7499301.544636984,0.0,439909.0286084055,119388.88059062079,67043.75580905464,0.7083435189681351,0.0
AT,decarbo-eu-naphta,2037,7199329.482851505,7199329.482851505,0.0,422312.66746406927,114613.32536699597,64362.005576692456,0.6800097782094097,0.0
AT,decarbo-eu-naphta,2038,6911356.303537445,6911356.303537445,0.0,405420.1607655065,110028.79235231613,61787.52535362476,0.6528093870810333,0.0
AT,decarbo-eu-naphta,2039,6634902.051395948,6634902.051395948,0.0,389203.3543348863,105627.64065822349,59316.02433947977,0.626697011597792,0.0
AT,decarbo-eu-naphta,2040,6369505.969340109,6369505.969340109,0.0,373635.2201614908,101402.53503189454,56943.383365900576,0.6016291311338803,0.0
AT,decarbo-eu-naphta,2041,6114725.730566505,6114725.730566505,0.0,358689.8113550312,97346.43363061876,54665.64803126456,0.5775639658885251,0.0
AT,decarbo-eu-naphta,2042,5870136.701343846,5870136.701343846,0.0,344342.21890082996,93452.57628539403,52479.02211001398,0.5544614072529841,0.0
AT,decarbo-eu-naphta,2043,5635331.233290091,5635331.233290091,0.0,330568.5301447967,89714.47323397825,50379.861225613415,0.5322829509628647,0.0
AT,decarbo-eu-naphta,2044,5409917.983958487,5409917.983958487,0.0,317345.7889390049,86125.89430461913,48364.66677658888,0.5109916329243501,0.0
AT,decarbo-eu-naphta,2045,5139422.084760563,5139422.084760563,0.0,301478.49949205463,81819.59958938818,45946.433437759435,0.4854420512781326,0.0
AT,decarbo-eu-naphta,2046,4882450.980522535,4882450.980522535,0.0,286404.57451745187,77728.61960991875,43649.111765871465,0.46116994871422595,0.0
AT,decarbo-eu-naphta,2047,4638328.431496408,4638328.431496408,0.0,272084.3457915793,73842.18862942282,41466.65617757788,0.43811145127851464,0.0
AT,decarbo-eu-naphta,2048,4406412.009921587,4406412.009921587,0.0,258480.1285020003,70150.07919795167,39393.32336869899,0.41620587871458886,0.0
AT,decarbo-eu-naphta,2049,4186091.4094255073,4186091.4094255073,0.0,245556.12207690024,66642.57523805408,37423.65720026404,0.3953955847788594,0.0
AT,decarbo-eu-naphta,2050,3976786.8389542317,3976786.8389542317,0.0,233278.31597305523,63310.44647615137,35552.47434025083,0.3756258055399164,0.0
BE,decarbo-eu-naphta,2019,56474999.99999999,56474999.99999999,0.0,3312823.4999999995,899081.9999999999,504886.49999999994,1.0,0.0
BE,decarbo-eu-naphta,2020,56192624.99999999,56192624.99999999,0.0,3296259.3824999994,894586.5899999999,502362.06749999995,0.995,0.0
BE,decarbo-eu-naphta,2021,55911661.87499999,55911661.87499999,0.0,3279778.085587499,890113.6570499999,499850.25716249994,0.990025,0.0
BE,decarbo-eu-naphta,2022,55632103.565625,55632103.565625,0.0,3263379.195159562,885663.0887647499,497351.0058766875,0.985074875,0.0
BE,decarbo-eu-naphta,2023,55353943.04779687,55353943.04779687,0.0,3247062.299183764,881234.7733209261,494864.250847304,0.9801495006250001,0.0
BE,decarbo-eu-naphta,2024,55077173.33255789,55077173.33255789,0.0,3230826.9876878452,876828.5994543215,492389.9295930675,0.9752487531218751,0.0
BE,decarbo-eu-naphta,2025,54801787.4658951,54801787.4658951,0.0,3214672.8527494064,872444.45645705,489927.9799451022,0.9703725093562657,0.0
BE,decarbo-eu-naphta,2026,53705751.7165772,53705751.7165772,0.0,3150379.3956944183,854995.567327909,480129.4203462002,0.9509650591691404,0.0
BE,decarbo-eu-naphta,2027,52631636.68224566,52631636.68224566,0.0,3087371.80778053,837895.6559813508,470526.8319392762,0.9319457579857576,0.0
BE,decarbo-eu-naphta,2028,51579003.94860074,51579003.94860074,0.0,3025624.371624919,821137.7428617238,461116.29530049063,0.9133068428260425,0.0
BE,decarbo-eu-naphta,2029,50547423.86962873,50547423.86962873,0.0,2965111.884192421,804714.9880044893,451893.9693944808,0.8950407059695216,0.0
BE,decarbo-eu-naphta,2030,49031001.15353986,49031001.15353986,0.0,2876158.527666648,780573.5383643545,438337.15031264635,0.8681894847904359,0.0
BE,decarbo-eu-naphta,2031,47560071.11893366,47560071.11893366,0.0,2789873.7718366487,757156.3322134239,425187.035803267,0.8421438002467228,0.0
BE,decarbo-eu-naphta,2032,46133268.98536565,46133268.98536565,0.0,2706177.558681549,734441.6422470212,412431.42472916894,0.816879486239321,0.0
BE,decarbo-eu-naphta,2033,44749270.91580468,44749270.91580468,0.0,2624992.2319211024,712408.3929796105,400058.4819872938,0.7923731016521414,0.0
BE,decarbo-eu-naphta,2034,43406792.78833054,43406792.78833054,0.0,2546242.464963469,691036.1411902222,388056.72752767504,0.7686019086025772,0.0
BE,decarbo-eu-naphta,2035,41670521.076797314,41670521.076797314,0.0,2444392.76636493,663394.6955426133,372534.458426568,0.737857832258474,0.0
BE,decarbo-eu-naphta,2036,40003700.23372542,40003700.23372542,0.0,2346617.055710333,636858.9077209088,357633.08008950524,0.7083435189681351,0.0
BE,decarbo-eu-naphta,2037,38403552.2243764,38403552.2243764,0.0,2252752.3734819195,611384.5514120724,343327.756885925,0.6800097782094097,0.0
BE,decarbo-eu-naphta,2038,36867410.13540135,36867410.13540135,0.0,2162642.2785426434,586929.1693555895,329594.6466104881,0.6528093870810333,0.0
BE,decarbo-eu-naphta,2039,35392713.7299853,35392713.7299853,0.0,2076136.5874009375,563452.0025813659,316410.86074606853,0.626697011597792,0.0
BE,decarbo-eu-naphta,2040,33977005.18078589,33977005.18078589,0.0,1993091.1239049,540913.9224781113,303754.42631622584,0.6016291311338803,0.0
BE,decarbo-eu-naphta,2041,32617924.97355445,32617924.97355445,0.0,1913367.478948704,519277.3655789869,291604.2492635768,0.5775639658885251,0.0
BE,decarbo-eu-naphta,2042,31313207.974612273,31313207.974612273,0.0,1836832.7797907558,498506.2709558274,279940.07929303375,0.5544614072529841,0.0
BE,decarbo-eu-naphta,2043,30060679.65562778,30060679.65562778,0.0,1763359.4685991255,478566.0201175943,268742.47612131236,0.5322829509628647,0.0
BE,decarbo-eu-naphta,2044,28858252.46940267,28858252.46940267,0.0,1692825.0898551606,459423.3793128905,257992.77707645987,0.5109916329243501,0.0
BE,decarbo-eu-naphta,2045,27415339.845932536,27415339.845932536,0.0,1608183.8353624025,436452.210347246,245093.13822263686,0.4854420512781326,0.0
BE,decarbo-eu-naphta,2046,26044572.853635907,26044572.853635907,0.0,1527774.6435942822,414629.59982988366,232838.48131150502,0.46116994871422595,0.0
BE,decarbo-eu-naphta,2047,24742344.21095411,24742344.21095411,0.0,1451385.911414568,393898.11983838945,221196.55724592975,0.43811145127851464,0.0
BE,decarbo-eu-naphta,2048,23505227.000406403,23505227.000406403,0.0,1378816.6158438395,374203.21384646994,210136.72938363324,0.41620587871458886,0.0
BE,decarbo-eu-naphta,2049,22329965.65038608,22329965.65038608,0.0,1309875.7850516473,355493.0531541464,199629.89291445157,0.3953955847788594,0.0
BE,decarbo-eu-naphta,2050,21213467.367866777,21213467.367866777,0.0,1244381.995799065,337718.4004964391,189648.39826872898,0.3756258055399164,0.0
BG,decarbo-eu-naphta,2019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BG,decarbo-eu-naphta,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.0
BG,decarbo-eu-naphta,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.990025,0.0
BG,decarbo-eu-naphta,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.985074875,0.0
BG,decarbo-eu-naphta,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.9801495006250001,0.0
BG,decarbo-eu-naphta,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.9752487531218751,0.0
BG,decarbo-eu-naphta,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.9703725093562657,0.0
BG,decarbo-eu-naphta,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.9509650591691404,0.0
BG,decarbo-eu-naphta,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.9319457579857576,0.0
BG,decarbo-eu-naphta,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.9133068428260425,0.0
BG,decarbo-eu-naphta,2029,0.0,0.0,0.0,0.0,0.0,0.0,0.8950407059695216,0.0
BG,decarbo-eu-naphta,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.8681894847904359,0.0
BG,decarbo-eu-naphta,2031,0.0,0.0,0.0,0.0,0.0,0.0,0.8421438002467228,0.0
BG,decarbo-eu-naphta,2032,0.0,0.0,0.0,0.0,0.0,0.0,0.816879486239321,0.0
BG,decarbo-eu-naphta,2033,0.0,0.0,0.0,0.0,0.0,0.0,0.7923731016521414,0.0
BG,decarbo-eu-naphta,2034,0.0,0.0,0.0,0.0,0.0,0.0,0.7686019086025772,0.0
BG,decarbo-eu-naphta,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.737857832258474,0.0
BG,decarbo-eu-naphta,2036,0.0,0.0,0.0,0.0,0.0,0.0,0.7083435189681351,0.0
BG,decarbo-eu-naphta,2037,0.0,0.0,0.0,0.0,0.0,0.0,0.6800097782094097,0.0
BG,decarbo-eu-naphta,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.6528093870810333,0.0
BG,decarbo-eu-naphta,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.626697011597792,0.0
BG,decarbo-eu-naphta,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.6016291311338803,0.0
BG,decarbo-eu-naphta,2041,0.0,0.0,0.0,0.0,0.0,0.0,0.5775639658885251,0.0
BG,decarbo-eu-naphta,2042,0.0,0.0,0.0,0.0,0.0,0.0,0.5544614072529841,0.0
BG,decarbo-eu-naphta,2043,0.0,0.0,0.0,0.0,0.0,0.0,0.5322829509628647,0.0
BG,decarbo-eu-naphta,2044,0.0,0.0,0.0,0.0,0.0,0.0,0.5109916329243501,0.0
BG,decarbo-eu-naphta,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.4854420512781326,0.0
BG,decarbo-eu-naphta,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.46116994871422595,0.0
BG,decarbo-eu-naphta,2047,0.0,0.0,0.0,0.0,0.0,0.0,0.43811145127851464,0.0
BG,decarbo-eu-naphta,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.41620587871458886,0.0
BG,decarbo-eu-naphta,2049,0.0,0.0,0.0,0.0,0.0,0.0,0.3953955847788594,0.0
BG,decarbo-eu-naphta,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.3756258055399164,0.0
CY,decarbo-eu-naphta,2019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CY,decarbo-eu-naphta,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.0
CY,decarbo-eu-naphta,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.990025,0.0
CY,decarbo-eu-naphta,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.985074875,0.0
CY,decarbo-eu-naphta,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.9801495006250001,0.0
CY,decarbo-eu-naphta,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.9752487531218751,0.0
CY,decarbo-eu-naphta,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.9703725093562657,0.0
CY,decarbo-eu-naphta,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.9509650591691404,0.0
CY,decarbo-eu-naphta,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.9319457579857576,0.0
CY,decarbo-eu-naphta,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.9133068428260425,0.0
CY,decarbo-eu-naphta,2029,0.0,0.0,0.0,0.0,0.0,0.0,0.8950407059695216,0.0
CY,decarbo-eu-naphta,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.8681894847904359,0.0
CY,decarbo-eu-naphta,2031,0.0,0.0,0.0,0.0,0.0,0.0,0.8421438002467228,0.0
CY,decarbo-eu-naphta,2032,0.0,0.0,0.0,0.0,0.0,0.0,0.816879486239321,0.0
CY,decarbo-eu-naphta,2033,0.0,0.0,0.0,0.0,0.0,0.0,0.7923731016521414,0.0
CY,decarbo-eu-naphta,2034,0.0,0.0,0.0,0.0,0.0,0.0,0.7686019086025772,0.0
CY,decarbo-eu-naphta,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.737857832258474,0.0
CY,decarbo-eu-naphta,2036,0.0,0.0,0.0,0.0,0.0,0.0,0.7083435189681351,0.0
CY,decarbo-eu-naphta,2037,0.0,0.0,0.0,0.0,0.0,0.0,0.6800097782094097,0.0
CY,decarbo-eu-naphta,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.6528093870810333,0.0
CY,decarbo-eu-naphta,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.626697011597792,0.0
CY,decarbo-eu-naphta,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.6016291311338803,0.0
CY,decarbo-eu-naphta,2041,0.0,0.0,0.0,0.0,0.0,0.0,0.5775639658885251,0.0
CY,decarbo-eu-naphta,2042,0.0,0.0,0.0,0.0,0.0,0.0,0.5544614072529841,0.0
CY,decarbo-eu-naphta,2043,0.0,0.0,0.0,0.0,0.0,0.0,0.5322829509628647,0.0
CY,decarbo-eu-naphta,2044,0.0,0.0,0.0,0.0,0.0,0.0,0.5109916329243501,0.0
CY,decarbo-eu-naphta,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.4854420512781326,0.0
CY,decarbo-eu-naphta,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.46116994871422595,0.0
CY,decarbo-eu-naphta,2047,0.0,0.0,0.0,0.0,0.0,0.0,0.43811145127851464,0.0
CY,decarbo-eu-naphta,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.41620587871458886,0.0
CY,decarbo-eu-naphta,2049,0.0,0.0,0.0,0.0,0.0,0.0,0.3953955847788594,0.0
CY,decarbo-eu-naphta,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.3756258055399164,0.0
CZ,decarbo-eu-naphta,2019,9161832.999999998,9161832.999999998,0.0,537433.1237799999,145856.38135999997,81906.78701999999,1.0,0.0
CZ,decarbo-eu-naphta,2020,9116023.834999999,9116023.834999999,0.0,534745.9581610999,145127.09945319997,81497.25308489999,0.995,0.0
CZ,decarbo-eu-naphta,2021,9070443.715824999,9070443.715824999,0.0,532072.2283702944,144401.46395593398,81089.7668194755,0.990025,0.0
CZ,decarbo-eu-naphta,2022,9025091.497245872,9025091.497245872,0.0,529411.8672284428,143679.4566361543,80684.3179853781,0.985074875,0.0
CZ,decarbo-eu-naphta,2023,8979966.039759645,8979966.039759645,0.0,526764.8078923008,142961.05935297356,80280.89639545123,0.9801495006250001,0.0
CZ,decarbo-eu-naphta,2024,8935066.209560847,8935066.209560847,0.0,524130.9838528393,142246.25405620868,79879.49191347398,0.9752487531218751,0.0
CZ,decarbo-eu-naphta,2025,8890390.878513042,8890390.878513042,0.0,521510.328933575,141535.02278592763,79480.0944539066,0.9703725093562657,0.0
CZ,decarbo-eu-naphta,2026,8712583.060942782,8712583.060942782,0.0,511080.12235490355,138704.3223302091,77890.49256482847,0.9509650591691404,0.0
CZ,decarbo-eu-naphta,2027,8538331.399723927,8538331.399723927,0.0,500858.5199078055,135930.2358836049,76332.6827135319,0.9319457579857576,0.0
CZ,decarbo-eu-naphta,2028,8367564.771729447,8367564.771729447,0.0,490841.3495096493,133211.6311659328,74806.02905926126,0.9133068428260425,0.0
CZ,decarbo-eu-naphta,2029,8200213.476294858,8200213.476294858,0.0,481024.52251945634,130547.39854261414,73309.90847807603,0.8950407059695216,0.0
CZ,decarbo-eu-naphta,2030,7954207.072006012,7954207.072006012,0.0,466593.78684387263,126630.97658633572,71110.61122373375,0.8681894847904359,0.0
CZ,decarbo-eu-naphta,2031,7715580.859845831,7715580.859845831,0.0,452595.9732385564,122832.04728874563,68977.29288702173,0.8421438002467228,0.0
CZ,decarbo-eu-naphta,2032,7484113.434050456,7484113.434050456,0.0,439018.0940413997,119147.08587008326,66907.97410041107,0.816879486239321,0.0
CZ,decarbo-eu-naphta,2033,7259590.031028942,7259590.031028942,0.0,425847.5512201577,115572.67329398076,64900.73487739875,0.7923731016521414,0.0
CZ,decarbo-eu-naphta,2034,7041802.330098074,7041802.330098074,0.0,413072.124683553,112105.49309516134,62953.71283107678,0.7686019086025772,0.0
CZ,decarbo-eu-naphta,2035,6760130.23689415,6760130.23689415,0.0,396549.23969621083,107621.27337135487,60435.564317833705,0.737857832258474,0.0
CZ,decarbo-eu-naphta,2036,6489725.027418384,6489725.027418384,0.0,380687.2701083624,103316.42243650068,58018.14174512036,0.7083435189681351,0.0
CZ,decarbo-eu-naphta,2037,6230136.02632165,6230136.02632165,0.0,365459.77930402796,99183.76553904066,55697.416075315545,0.6800097782094097,0.0
CZ,decarbo-eu-naphta,2038,5980930.585268783,5980930.585268783,0.0,350841.3881318668,95216.41491747904,53469.51943230292,0.6528093870810333,0.0
CZ,decarbo-eu-naphta,2039,5741693.361858033,5741693.361858033,0.0,336807.7326065922,91407.75832077987,51330.73865501081,0.626697011597792,0.0
CZ,decarbo-eu-naphta,2040,5512025.627383711,5512025.627383711,0.0,323335.42330232845,87751.44798794868,49277.50910881037,0.6016291311338803,0.0
CZ,decarbo-eu-naphta,2041,5291544.602288363,5291544.602288363,0.0,310402.00637023535,84241.39006843073,47306.40874445796,0.5775639658885251,0.0
CZ,decarbo-eu-naphta,2042,5079882.818196828,5079882.818196828,0.0,297985.9261154259,80871.7344656935,45414.15239467964,0.5544614072529841,0.0
CZ,decarbo-eu-naphta,2043,4876687.505468954,4876687.505468954,0.0,286066.48907080886,77636.86508706576,43597.58629889245,0.5322829509628647,0.0
CZ,decarbo-eu-naphta,2044,4681620.005250197,4681620.005250197,0.0,274623.82950797654,74531.39048358313,41853.68284693676,0.5109916329243501,0.0
CZ,decarbo-eu-naphta,2045,4447539.004987687,4447539.004987687,0.0,260892.6380325777,70804.82095940398,39760.99870458992,0.4854420512781326,0.0
CZ,decarbo-eu-naphta,2046,4225162.054738302,4225162.054738302,0.0,247848.00613094878,67264.57991143377,37772.94876936042,0.46116994871422595,0.0
CZ,decarbo-eu-naphta,2047,4013903.952001387,4013903.952001387,0.0,235455.60582440134,63901.35091586208,35884.3013308924,0.43811145127851464,0.0
CZ,decarbo-eu-naphta,2048,3813208.754401317,3813208.754401317,0.0,223682.82553318123,60706.283370068966,34090.086264347774,0.41620587871458886,0.0
CZ,decarbo-eu-naphta,2049,3622548.316681251,3622548.316681251,0.0,212498.68425652216,57670.96920156552,32385.58195113038,0.3953955847788594,0.0
CZ,decarbo-eu-naphta,2050,3441420.900847188,3441420.900847188,0.0,201873.75004369605,54787.420741487236,30766.302853573863,0.3756258055399164,0.0
DE,decarbo-eu-naphta,2019,154294728.53070617,154294728.53070617,0.0,9050928.775611224,2456372.0782088423,1379394.873064513,1.0,0.0
DE,decarbo-eu-naphta,2020,153523254.88805264,153523254.88805264,0.0,9005674.131733168,2444090.2178177983,1372497.8986991907,0.995,0.0
DE,decarbo-eu-naphta,2021,152755638.61361238,152755638.61361238,0.0,8960645.761074502,2431869.766728709,1365635.4092056947,0.990025,0.0
DE,decarbo-eu-naphta,2022,151991860.42054433,151991860.42054433,0.0,8915842.53226913,2419710.4178950656,1358807.2321596663,0.985074875,0.0
DE,decarbo-eu-naphta,2023,151231901.1184416,151231901.1184416,0.0,8871263.319607785,2407611.8658055905,1352013.195998868,0.9801495006250001,0.0
DE,decarbo-eu-naphta,2024,150475741.61284938,150475741.61284938,0.0,8826907.003009744,2395573.8064765623,1345253.1300188736,0.9752487531218751,0.0
DE,decarbo-eu-naphta,2025,149723362.90478516,149723362.90478516,0.0,8782772.467994697,2383595.93744418,1338526.8643687794,0.9703725093562657,0.0
DE,decarbo-eu-naphta,2026,146728895.64668944,146728895.64668944,0.0,8607117.018634802,2335924.018695296,1311756.3270814037,0.9509650591691404,0.0
