country,year,refinery_scenario,refinery_activity,refinery_index,olefins_scenario
AT,2019,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2020,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2021,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2022,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2023,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2024,more-molecule,1668421.2381771277,1.0,bau-eu
AT,2025,more-molecule,1578273.6204054155,0.945968310814477,bau-eu
AT,2026,more-molecule,1488126.0026337043,0.8919366216289544,bau-eu
AT,2027,more-molecule,1397978.3848619924,0.8379049324434314,bau-eu
AT,2028,more-molecule,1307830.7670902808,0.7838732432579086,bau-eu
AT,2029,more-molecule,1217683.149318569,0.7298415540723858,bau-eu
AT,2030,more-molecule,1127535.5315468574,0.6758098648868631,bau-eu
AT,2031,more-molecule,1060745.2679153434,0.6357778501275165,bau-eu
AT,2032,more-molecule,993955.0042838289,0.5957458353681697,bau-eu
AT,2033,more-molecule,927164.7406523147,0.555713820608823,bau-eu
AT,2034,more-molecule,860374.4770208005,0.5156818058494763,bau-eu
AT,2035,more-molecule,793584.2133892863,0.4756497910901297,bau-eu
AT,2036,more-molecule,726793.949757772,0.435617776330783,bau-eu
AT,2037,more-molecule,660003.6861262579,0.3955857615714364,bau-eu
AT,2038,more-molecule,593213.4224947436,0.3555537468120897,bau-eu
AT,2039,more-molecule,526423.1588632293,0.315521732052743,bau-eu
AT,2040,more-molecule,459632.89523171517,0.27548971729339633,bau-eu
AT,2041,more-molecule,430766.6457448858,0.2581881816701937,bau-eu
AT,2042,more-molecule,401900.3962580565,0.24088664604699117,bau-eu
AT,2043,more-molecule,373034.14677122724,0.22358511042378862,bau-eu
AT,2044,more-molecule,344167.8972843979,0.20628357480058604,bau-eu
AT,2045,more-molecule,315301.6477975686,0.1889820391773835,bau-eu
AT,2046,more-molecule,286435.39831073926,0.1716805035541809,bau-eu
AT,2047,more-molecule,257569.14882391,0.15437896793097836,bau-eu
AT,2048,more-molecule,228702.89933708063,0.13707743230777575,bau-eu
AT,2049,more-molecule,199836.6498502514,0.11977589668457322,bau-eu
AT,2050,more-molecule,170970.40036342212,0.10247436106137069,bau-eu
BE,2019,more-molecule,16546990.627687015,1.0,bau-eu
BE,2020,more-molecule,16546990.627687015,1.0,bau-eu
BE,2021,more-molecule,16546990.627687015,1.0,bau-eu
BE,2022,more-molecule,16546990.627687015,1.0,bau-eu
BE,2023,more-molecule,16546990.627687015,1.0,bau-eu
BE,2024,more-molecule,16546990.627687015,1.0,bau-eu
BE,2025,more-molecule,15652928.773136068,0.9459683108144771,bau-eu
BE,2026,more-molecule,14758866.918585127,0.8919366216289544,bau-eu
BE,2027,more-molecule,13864805.064034183,0.8379049324434316,bau-eu
BE,2028,more-molecule,12970743.209483238,0.7838732432579086,bau-eu
BE,2029,more-molecule,12076681.354932295,0.7298415540723859,bau-eu
BE,2030,more-molecule,11182619.500381349,0.6758098648868629,bau-eu
BE,2031,more-molecule,10520210.127351014,0.6357778501275164,bau-eu
BE,2032,more-molecule,9857800.754320677,0.5957458353681698,bau-eu
BE,2033,more-molecule,9195391.381290337,0.555713820608823,bau-eu
BE,2034,more-molecule,8532982.00826,0.5156818058494764,bau-eu
BE,2035,more-molecule,7870572.635229663,0.4756497910901297,bau-eu
BE,2036,more-molecule,7208163.262199325,0.435617776330783,bau-eu
BE,2037,more-molecule,6545753.889168988,0.3955857615714364,bau-eu
BE,2038,more-molecule,5883344.516138649,0.3555537468120896,bau-eu
BE,2039,more-molecule,5220935.14310831,0.3155217320527429,bau-eu
BE,2040,more-molecule,4558525.770077975,0.27548971729339633,bau-eu
BE,2041,more-molecule,4272237.422276247,0.2581881816701937,bau-eu
BE,2042,more-molecule,3985949.0744745224,0.24088664604699117,bau-eu
BE,2043,more-molecule,3699660.726672797,0.22358511042378865,bau-eu
BE,2044,more-molecule,3413372.3788710707,0.20628357480058607,bau-eu
BE,2045,more-molecule,3127084.031069345,0.1889820391773835,bau-eu
BE,2046,more-molecule,2840795.6832676185,0.1716805035541809,bau-eu
BE,2047,more-molecule,2554507.335465893,0.15437896793097836,bau-eu
BE,2048,more-molecule,2268218.9876641664,0.13707743230777575,bau-eu
BE,2049,more-molecule,1981930.6398624415,0.11977589668457324,bau-eu
BE,2050,more-molecule,1695642.2920607156,0.10247436106137067,bau-eu
BG,2019,more-molecule,2324679.8796216683,1.0,bau-eu
BG,2020,more-molecule,2324679.8796216683,1.0,bau-eu
BG,2021,more-molecule,2324679.8796216683,1.0,bau-eu
BG,2022,more-molecule,2324679.8796216683,1.0,bau-eu
BG,2023,more-molecule,2324679.8796216683,1.0,bau-eu
BG,2024,more-molecule,2324679.8796216683,1.0,bau-eu
BG,2025,more-molecule,2199073.4989101114,0.9459683108144771,bau-eu
BG,2026,more-molecule,2073467.1181985554,0.8919366216289545,bau-eu
BG,2027,more-molecule,1947860.7374869986,0.8379049324434316,bau-eu
BG,2028,more-molecule,1822254.3567754414,0.7838732432579085,bau-eu
BG,2029,more-molecule,1696647.9760638855,0.7298415540723859,bau-eu
BG,2030,more-molecule,1571041.5953523288,0.6758098648868631,bau-eu
BG,2031,more-molecule,1477979.976100558,0.6357778501275164,bau-eu
BG,2032,more-molecule,1384918.356848787,0.5957458353681697,bau-eu
BG,2033,more-molecule,1291856.7375970162,0.555713820608823,bau-eu
BG,2034,more-molecule,1198795.1183452455,0.5156818058494764,bau-eu
BG,2035,more-molecule,1105733.4990934746,0.4756497910901298,bau-eu
BG,2036,more-molecule,1012671.8798417036,0.4356177763307831,bau-eu
BG,2037,more-molecule,919610.2605899328,0.39558576157143643,bau-eu
BG,2038,more-molecule,826548.6413381617,0.3555537468120896,bau-eu
BG,2039,more-molecule,733487.0220863908,0.315521732052743,bau-eu
BG,2040,more-molecule,640425.40283462,0.27548971729339633,bau-eu
BG,2041,more-molecule,600204.8710848034,0.25818818167019375,bau-eu
BG,2042,more-molecule,559984.3393349869,0.24088664604699117,bau-eu
BG,2043,more-molecule,519763.8075851703,0.22358511042378862,bau-eu
BG,2044,more-molecule,479543.2758353538,0.20628357480058607,bau-eu
BG,2045,more-molecule,439322.74408553727,0.1889820391773835,bau-eu
BG,2046,more-molecule,399102.21233572066,0.1716805035541809,bau-eu
BG,2047,more-molecule,358881.68058590416,0.15437896793097836,bau-eu
BG,2048,more-molecule,318661.14883608755,0.13707743230777578,bau-eu
BG,2049,more-molecule,278440.61708627106,0.11977589668457322,bau-eu
BG,2050,more-molecule,238220.08533645456,0.10247436106137069,bau-eu
CY,2019,more-molecule,0.0,1.0,bau-eu
CY,2020,more-molecule,0.0,1.0,bau-eu
CY,2021,more-molecule,0.0,1.0,bau-eu
CY,2022,more-molecule,0.0,1.0,bau-eu
CY,2023,more-molecule,0.0,1.0,bau-eu
CY,2024,more-molecule,0.0,1.0,bau-eu
CY,2025,more-molecule,0.0,1.0,bau-eu
CY,2026,more-molecule,0.0,1.0,bau-eu
CY,2027,more-molecule,0.0,1.0,bau-eu
CY,2028,more-molecule,0.0,1.0,bau-eu
CY,2029,more-molecule,0.0,1.0,bau-eu
CY,2030,more-molecule,0.0,1.0,bau-eu
CY,2031,more-molecule,0.0,1.0,bau-eu
CY,2032,more-molecule,0.0,1.0,bau-eu
CY,2033,more-molecule,0.0,1.0,bau-eu
CY,2034,more-molecule,0.0,1.0,bau-eu
CY,2035,more-molecule,0.0,1.0,bau-eu
CY,2036,more-molecule,0.0,1.0,bau-eu
CY,2037,more-molecule,0.0,1.0,bau-eu
CY,2038,more-molecule,0.0,1.0,bau-eu
CY,2039,more-molecule,0.0,1.0,bau-eu
CY,2040,more-molecule,0.0,1.0,bau-eu
CY,2041,more-molecule,0.0,1.0,bau-eu
CY,2042,more-molecule,0.0,1.0,bau-eu
CY,2043,more-molecule,0.0,1.0,bau-eu
CY,2044,more-molecule,0.0,1.0,bau-eu
CY,2045,more-molecule,0.0,1.0,bau-eu
CY,2046,more-molecule,0.0,1.0,bau-eu
CY,2047,more-molecule,0.0,1.0,bau-eu
CY,2048,more-molecule,0.0,1.0,bau-eu
CY,2049,more-molecule,0.0,1.0,bau-eu
CY,2050,more-molecule,0.0,1.0,bau-eu
CZ,2019,more-molecule,1209801.9776440237,1.0,bau-eu
CZ,2020,more-molecule,1209801.9776440237,1.0,bau-eu
CZ,2021,more-molecule,1209801.9776440237,1.0,bau-eu
CZ,2022,more-molecule,1209801.9776440237,1.0,bau-eu
CZ,2023,more-molecule,1209801.9776440237,1.0,bau-eu
CZ,2024,more-molecule,1209801.9776440237,1.0,bau-eu
CZ,2025,more-molecule,1144434.333211931,0.9459683108144771,bau-eu
CZ,2026,more-molecule,1079066.6887798384,0.8919366216289545,bau-eu
CZ,2027,more-molecule,1013699.0443477457,0.8379049324434317,bau-eu
CZ,2028,more-molecule,948331.3999156528,0.7838732432579086,bau-eu
CZ,2029,more-molecule,882963.7554835601,0.7298415540723859,bau-eu
CZ,2030,more-molecule,817596.1110514675,0.6758098648868631,bau-eu
CZ,2031,more-molecule,769165.3004265351,0.6357778501275164,bau-eu
CZ,2032,more-molecule,720734.4898016027,0.5957458353681697,bau-eu
CZ,2033,more-molecule,672303.6791766703,0.555713820608823,bau-eu
CZ,2034,more-molecule,623872.8685517381,0.5156818058494764,bau-eu
CZ,2035,more-molecule,575442.0579268057,0.4756497910901297,bau-eu
CZ,2036,more-molecule,527011.2473018733,0.435617776330783,bau-eu
CZ,2037,more-molecule,478580.436676941,0.3955857615714364,bau-eu
CZ,2038,more-molecule,430149.6260520086,0.3555537468120897,bau-eu
CZ,2039,more-molecule,381718.8154270762,0.315521732052743,bau-eu
CZ,2040,more-molecule,333288.0048021439,0.27548971729339633,bau-eu
CZ,2041,more-molecule,312356.57278891484,0.2581881816701937,bau-eu
CZ,2042,more-molecule,291425.1407756859,0.2408866460469912,bau-eu
CZ,2043,more-molecule,270493.7087624569,0.22358511042378862,bau-eu
CZ,2044,more-molecule,249562.27674922792,0.20628357480058607,bau-eu
CZ,2045,more-molecule,228630.84473599892,0.1889820391773835,bau-eu
CZ,2046,more-molecule,207699.41272276992,0.1716805035541809,bau-eu
CZ,2047,more-molecule,186767.98070954095,0.15437896793097838,bau-eu
CZ,2048,more-molecule,165836.54869631192,0.13707743230777578,bau-eu
CZ,2049,more-molecule,144905.11668308298,0.11977589668457324,bau-eu
CZ,2050,more-molecule,123973.684669854,0.1024743610613707,bau-eu
DE,2019,more-molecule,74183146.94754945,1.0,bau-eu
DE,2020,more-molecule,74183146.94754945,1.0,bau-eu
DE,2021,more-molecule,74183146.94754945,1.0,bau-eu
DE,2022,more-molecule,74183146.94754945,1.0,bau-eu
DE,2023,more-molecule,74183146.94754945,1.0,bau-eu
DE,2024,more-molecule,74183146.94754945,1.0,bau-eu
DE,2025,more-molecule,70174906.20887548,0.945968310814477,bau-eu
DE,2026,more-molecule,66166665.47020153,0.8919366216289544,bau-eu
DE,2027,more-molecule,62158424.731527574,0.8379049324434316,bau-eu
DE,2028,more-molecule,58150183.99285361,0.7838732432579086,bau-eu
DE,2029,more-molecule,54141943.25417966,0.7298415540723858,bau-eu
DE,2030,more-molecule,50133702.5155057,0.6758098648868631,bau-eu
DE,2031,more-molecule,47164001.68200662,0.6357778501275164,bau-eu
DE,2032,more-molecule,44194300.84850754,0.5957458353681697,bau-eu
DE,2033,more-molecule,41224600.01500845,0.555713820608823,bau-eu
DE,2034,more-molecule,38254899.181509376,0.5156818058494764,bau-eu
DE,2035,more-molecule,35285198.34801029,0.47564979109012967,bau-eu
DE,2036,more-molecule,32315497.5145112,0.43561777633078297,bau-eu
DE,2037,more-molecule,29345796.681012124,0.3955857615714364,bau-eu
DE,2038,more-molecule,26376095.84751303,0.35555374681208957,bau-eu
DE,2039,more-molecule,23406395.01401395,0.3155217320527429,bau-eu
DE,2040,more-molecule,20436694.180514872,0.2754897172933963,bau-eu
DE,2041,more-molecule,19153211.820960574,0.25818818167019375,bau-eu
DE,2042,more-molecule,17869729.46140628,0.2408866460469912,bau-eu
DE,2043,more-molecule,16586247.10185198,0.2235851104237886,bau-eu
DE,2044,more-molecule,15302764.742297681,0.206283574800586,bau-eu
DE,2045,more-molecule,14019282.382743385,0.18898203917738346,bau-eu
DE,2046,more-molecule,12735800.023189085,0.17168050355418088,bau-eu
DE,2047,more-molecule,11452317.663634792,0.15437896793097836,bau-eu
DE,2048,more-molecule,10168835.304080492,0.13707743230777578,bau-eu
DE,2049,more-molecule,8885352.944526196,0.11977589668457321,bau-eu
DE,2050,more-molecule,7601870.584971899,0.10247436106137066,bau-eu
DK,2019,more-molecule,12999483.920894237,1.0,bau-eu
DK,2020,more-molecule,12999483.920894237,1.0,bau-eu
DK,2021,more-molecule,12999483.920894237,1.0,bau-eu
DK,2022,more-molecule,12999483.920894237,1.0,bau-eu
DK,2023,more-molecule,12999483.920894237,1.0,bau-eu
DK,2024,more-molecule,12999483.920894237,1.0,bau-eu
DK,2025,more-molecule,12297099.846108275,0.9459683108144769,bau-eu
DK,2026,more-molecule,11594715.77132232,0.8919366216289544,bau-eu
DK,2027,more-molecule,10892331.69653636,0.8379049324434316,bau-eu
DK,2028,more-molecule,10189947.621750401,0.7838732432579087,bau-eu
DK,2029,more-molecule,9487563.546964442,0.7298415540723859,bau-eu
DK,2030,more-molecule,8785179.472178483,0.675809864886863,bau-eu
DK,2031,more-molecule,8264783.939993355,0.6357778501275164,bau-eu
DK,2032,more-molecule,7744388.407808227,0.5957458353681697,bau-eu
DK,2033,more-molecule,7223992.8756230995,0.555713820608823,bau-eu
DK,2034,more-molecule,6703597.3434379725,0.5156818058494764,bau-eu
DK,2035,more-molecule,6183201.8112528445,0.4756497910901297,bau-eu
DK,2036,more-molecule,5662806.279067716,0.43561777633078297,bau-eu
DK,2037,more-molecule,5142410.746882588,0.3955857615714363,bau-eu
DK,2038,more-molecule,4622015.21469746,0.3555537468120896,bau-eu
DK,2039,more-molecule,4101619.682512331,0.31552173205274286,bau-eu
DK,2040,more-molecule,3581224.1503272047,0.27548971729339633,bau-eu
DK,2041,more-molecule,3356313.1161866034,0.2581881816701937,bau-eu
DK,2042,more-molecule,3131402.082046003,0.24088664604699117,bau-eu
DK,2043,more-molecule,2906491.0479054027,0.22358511042378862,bau-eu
DK,2044,more-molecule,2681580.013764802,0.20628357480058604,bau-eu
DK,2045,more-molecule,2456668.9796242015,0.1889820391773835,bau-eu
DK,2046,more-molecule,2231757.9454836007,0.1716805035541809,bau-eu
DK,2047,more-molecule,2006846.9113430001,0.15437896793097836,bau-eu
DK,2048,more-molecule,1781935.877202399,0.13707743230777575,bau-eu
DK,2049,more-molecule,1557024.843061799,0.11977589668457322,bau-eu
DK,2050,more-molecule,1332113.8089211986,0.10247436106137067,bau-eu
EE,2019,more-molecule,0.0,1.0,bau-eu
EE,2020,more-molecule,0.0,1.0,bau-eu
EE,2021,more-molecule,0.0,1.0,bau-eu
EE,2022,more-molecule,0.0,1.0,bau-eu
EE,2023,more-molecule,0.0,1.0,bau-eu
EE,2024,more-molecule,0.0,1.0,bau-eu
EE,2025,more-molecule,0.0,1.0,bau-eu
EE,2026,more-molecule,0.0,1.0,bau-eu
EE,2027,more-molecule,0.0,1.0,bau-eu
EE,2028,more-molecule,0.0,1.0,bau-eu
EE,2029,more-molecule,0.0,1.0,bau-eu
EE,2030,more-molecule,0.0,1.0,bau-eu
EE,2031,more-molecule,0.0,1.0,bau-eu
EE,2032,more-molecule,0.0,1.0,bau-eu
EE,2033,more-molecule,0.0,1.0,bau-eu
EE,2034,more-molecule,0.0,1.0,bau-eu
EE,2035,more-molecule,0.0,1.0,bau-eu
EE,2036,more-molecule,0.0,1.0,bau-eu
EE,2037,more-molecule,0.0,1.0,bau-eu
EE,2038,more-molecule,0.0,1.0,bau-eu
EE,2039,more-molecule,0.0,1.0,bau-eu
EE,2040,more-molecule,0.0,1.0,bau-eu
EE,2041,more-molecule,0.0,1.0,bau-eu
EE,2042,more-molecule,0.0,1.0,bau-eu
EE,2043,more-molecule,0.0,1.0,bau-eu
EE,2044,more-molecule,0.0,1.0,bau-eu
EE,2045,more-molecule,0.0,1.0,bau-eu
EE,2046,more-molecule,0.0,1.0,bau-eu
EE,2047,more-molecule,0.0,1.0,bau-eu
EE,2048,more-molecule,0.0,1.0,bau-eu
EE,2049,more-molecule,0.0,1.0,bau-eu
EE,2050,more-molecule,0.0,1.0,bau-eu
ES,2019,more-molecule,12396281.169389509,1.0,bau-eu
ES,2020,more-molecule,12396281.169389509,1.0,bau-eu
ES,2021,more-molecule,12396281.169389509,1.0,bau-eu
ES,2022,more-molecule,12396281.169389509,1.0,bau-eu
ES,2023,more-molecule,12396281.169389509,1.0,bau-eu
ES,2024,more-molecule,12396281.169389509,1.0,bau-eu
ES,2025,more-molecule,11726489.158188704,0.9459683108144771,bau-eu
ES,2026,more-molecule,11056697.1469879,0.8919366216289542,bau-eu
ES,2027,more-molecule,10386905.1357871,0.8379049324434316,bau-eu
ES,2028,more-molecule,9717113.124586292,0.7838732432579084,bau-eu
ES,2029,more-molecule,9047321.113385491,0.7298415540723858,bau-eu
ES,2030,more-molecule,8377529.102184689,0.675809864886863,bau-eu
ES,2031,more-molecule,7881280.991450677,0.6357778501275164,bau-eu
ES,2032,more-molecule,7385032.880716664,0.5957458353681696,bau-eu
ES,2033,more-molecule,6888784.769982652,0.555713820608823,bau-eu
ES,2034,more-molecule,6392536.659248641,0.5156818058494764,bau-eu
ES,2035,more-molecule,5896288.548514628,0.47564979109012967,bau-eu
ES,2036,more-molecule,5400040.437780615,0.4356177763307829,bau-eu
ES,2037,more-molecule,4903792.327046605,0.3955857615714364,bau-eu
ES,2038,more-molecule,4407544.216312591,0.35555374681208957,bau-eu
ES,2039,more-molecule,3911296.105578579,0.3155217320527429,bau-eu
ES,2040,more-molecule,3415047.9948445684,0.27548971729339633,bau-eu
ES,2041,more-molecule,3200573.2945971396,0.2581881816701937,bau-eu
ES,2042,more-molecule,2986098.594349712,0.24088664604699114,bau-eu
ES,2043,more-molecule,2771623.894102284,0.22358511042378856,bau-eu
ES,2044,more-molecule,2557149.193854857,0.20628357480058604,bau-eu
ES,2045,more-molecule,2342674.493607429,0.18898203917738346,bau-eu
ES,2046,more-molecule,2128199.7933600014,0.1716805035541809,bau-eu
ES,2047,more-molecule,1913725.093112574,0.15437896793097836,bau-eu
ES,2048,more-molecule,1699250.3928651456,0.13707743230777575,bau-eu
ES,2049,more-molecule,1484775.6926177184,0.11977589668457322,bau-eu
ES,2050,more-molecule,1270300.9923702907,0.10247436106137066,bau-eu
FI,2019,more-molecule,15932932.158211524,1.0,bau-eu
FI,2020,more-molecule,15932932.158211524,1.0,bau-eu
FI,2021,more-molecule,15932932.158211524,1.0,bau-eu
FI,2022,more-molecule,15932932.158211524,1.0,bau-eu
FI,2023,more-molecule,15932932.158211524,1.0,bau-eu
FI,2024,more-molecule,15932932.158211524,1.0,bau-eu
FI,2025,more-molecule,15072048.920025013,0.945968310814477,bau-eu
FI,2026,more-molecule,14211165.681838512,0.8919366216289545,bau-eu
FI,2027,more-molecule,13350282.443652004,0.8379049324434314,bau-eu
FI,2028,more-molecule,12489399.205465496,0.7838732432579085,bau-eu
FI,2029,more-molecule,11628515.96727899,0.7298415540723858,bau-eu
FI,2030,more-molecule,10767632.729092482,0.6758098648868629,bau-eu
FI,2031,more-molecule,10129805.353775294,0.6357778501275165,bau-eu
FI,2032,more-molecule,9491977.978458099,0.5957458353681697,bau-eu
FI,2033,more-molecule,8854150.603140905,0.555713820608823,bau-eu
FI,2034,more-molecule,8216323.227823715,0.5156818058494764,bau-eu
FI,2035,more-molecule,7578495.852506521,0.4756497910901297,bau-eu
FI,2036,more-molecule,6940668.477189327,0.43561777633078297,bau-eu
FI,2037,more-molecule,6302841.101872135,0.3955857615714364,bau-eu
FI,2038,more-molecule,5665013.726554941,0.3555537468120897,bau-eu
FI,2039,more-molecule,5027186.351237748,0.315521732052743,bau-eu
FI,2040,more-molecule,4389358.975920555,0.2754897172933963,bau-eu
FI,2041,more-molecule,4113694.7826031884,0.2581881816701937,bau-eu
FI,2042,more-molecule,3838030.5892858226,0.24088664604699117,bau-eu
FI,2043,more-molecule,3562366.3959684563,0.22358511042378862,bau-eu
FI,2044,more-molecule,3286702.2026510895,0.20628357480058604,bau-eu
FI,2045,more-molecule,3011038.0093337237,0.18898203917738352,bau-eu
FI,2046,more-molecule,2735373.816016357,0.1716805035541809,bau-eu
FI,2047,more-molecule,2459709.6226989906,0.15437896793097836,bau-eu
FI,2048,more-molecule,2184045.4293816234,0.13707743230777575,bau-eu
FI,2049,more-molecule,1908381.2360642576,0.11977589668457321,bau-eu
FI,2050,more-molecule,1632717.0427468917,0.10247436106137069,bau-eu
