country,scenario,year,aluminium_production,carbothermalreduction_production,electrolysis_bat_production,electrolysis_current_production,smeltoven_production
AT,DE,2019,1092855.166585963,0.0,0.0,1092855.166585963,0.0
AT,DE,2030,1064232.7693658543,0.0,222982.1040576076,506777.5092218354,334473.1560864113
AT,DE,2040,1038212.4082566648,0.0,415284.9633026659,0.0,622927.4449539988
AT,DE,2050,1038212.4082566648,0.0,415284.9633026659,0.0,622927.4449539988
AT,GA,2019,1092855.166585963,0.0,0.0,1092855.166585963,0.0
AT,GA,2030,1064232.7693658543,0.0,55745.5260144019,679588.6398664813,328898.60348497116
AT,GA,2040,1038212.4082566648,0.0,103821.24082566648,321845.8465595661,612545.3208714322
AT,GA,2050,1038212.4082566648,0.0,103821.24082566648,321845.8465595661,612545.3208714322
BE,DE,2019,0.0,0.0,0.0,0.0,0.0
BE,DE,2030,0.0,0.0,0.0,0.0,0.0
BE,DE,2040,0.0,0.0,0.0,0.0,0.0
BE,DE,2050,0.0,0.0,0.0,0.0,0.0
BE,GA,2019,0.0,0.0,0.0,0.0,0.0
BE,GA,2030,0.0,0.0,0.0,0.0,0.0
BE,GA,2040,0.0,0.0,0.0,0.0,0.0
BE,GA,2050,0.0,0.0,0.0,0.0,0.0
BG,DE,2019,146005.2733848069,0.0,0.0,146005.2733848069,0.0
BG,DE,2030,146005.2733848069,0.0,7647.895272537505,93234.79600429813,45122.58210797127
BG,DE,2040,146005.2733848069,0.0,14600.527338480691,45261.63474929014,86143.11129703607
BG,DE,2050,146005.2733848069,0.0,58402.109353922766,0.0,87603.16403088415
BG,GA,2019,146005.2733848069,0.0,0.0,146005.2733848069,0.0
BG,GA,2030,146005.2733848069,0.0,7647.895272537505,93234.79600429813,45122.58210797127
BG,GA,2040,146005.2733848069,0.0,14600.527338480691,45261.63474929014,86143.11129703607
BG,GA,2050,146005.2733848069,0.0,58402.109353922766,0.0,87603.16403088415
CY,DE,2019,0.0,0.0,0.0,0.0,0.0
CY,DE,2030,0.0,0.0,0.0,0.0,0.0
CY,DE,2040,0.0,0.0,0.0,0.0,0.0
CY,DE,2050,0.0,0.0,0.0,0.0,0.0
CY,GA,2019,0.0,0.0,0.0,0.0,0.0
CY,GA,2030,0.0,0.0,0.0,0.0,0.0
CY,GA,2040,0.0,0.0,0.0,0.0,0.0
CY,GA,2050,0.0,0.0,0.0,0.0,0.0
CZ,DE,2019,254128.5443591842,0.0,0.0,254128.5443591842,0.0
CZ,DE,2030,254128.5443591842,0.0,13311.495180719172,162279.2276122219,78537.8215662431
CZ,DE,2040,254128.5443591842,0.0,25412.85443591842,78779.8487513471,149935.84117191867
CZ,DE,2050,254128.5443591842,0.0,101651.41774367368,0.0,152477.1266155105
CZ,GA,2019,254128.5443591842,0.0,0.0,254128.5443591842,0.0
CZ,GA,2030,254128.5443591842,0.0,13311.495180719172,162279.2276122219,78537.8215662431
CZ,GA,2040,254128.5443591842,0.0,25412.85443591842,78779.8487513471,149935.84117191867
CZ,GA,2050,254128.5443591842,0.0,101651.41774367368,0.0,152477.1266155105
DE,DE,2019,4969547.68067105,0.0,0.0,4969547.68067105,0.0
DE,DE,2030,4969547.68067105,0.0,260309.64041610263,3173411.161799942,1535826.8784550054
DE,DE,2040,4969547.68067105,0.0,496954.76806710503,1540559.7810080256,2932033.1315959194
DE,DE,2050,4969547.68067105,0.0,1987819.0722684201,0.0,2981728.60840263
DE,GA,2019,4969547.68067105,0.0,0.0,4969547.68067105,0.0
DE,GA,2030,4969547.68067105,0.0,260309.64041610263,3173411.161799942,1535826.8784550054
DE,GA,2040,4969547.68067105,0.0,496954.76806710503,1540559.7810080256,2932033.1315959194
DE,GA,2050,4969547.68067105,0.0,496954.76806710503,1540559.7810080256,2932033.1315959194
DK,DE,2019,0.0,0.0,0.0,0.0,0.0
DK,DE,2030,0.0,0.0,0.0,0.0,0.0
DK,DE,2040,0.0,0.0,0.0,0.0,0.0
DK,DE,2050,0.0,0.0,0.0,0.0,0.0
DK,GA,2019,0.0,0.0,0.0,0.0,0.0
DK,GA,2030,0.0,0.0,0.0,0.0,0.0
DK,GA,2040,0.0,0.0,0.0,0.0,0.0
DK,GA,2050,0.0,0.0,0.0,0.0,0.0
EE,DE,2019,0.0,0.0,0.0,0.0,0.0
EE,DE,2030,0.0,0.0,0.0,0.0,0.0
EE,DE,2040,0.0,0.0,0.0,0.0,0.0
EE,DE,2050,0.0,0.0,0.0,0.0,0.0
EE,GA,2019,0.0,0.0,0.0,0.0,0.0
EE,GA,2030,0.0,0.0,0.0,0.0,0.0
EE,GA,2040,0.0,0.0,0.0,0.0,0.0
EE,GA,2050,0.0,0.0,0.0,0.0,0.0
ES,DE,2019,705781.4011119447,0.0,0.0,705781.4011119447,0.0
ES,DE,2030,705781.4011119447,0.0,36969.50196300663,480267.43913760426,188544.46001133378
ES,DE,2040,705781.4011119447,0.0,70578.14011119447,275254.74643365847,359948.5145670917
ES,DE,2050,882226.7513899307,0.0,352890.7005559723,0.0,529336.0508339584
ES,GA,2019,705781.4011119447,0.0,0.0,705781.4011119447,0.0
ES,GA,2030,705781.4011119447,0.0,36969.50196300663,450691.83756719896,218120.06158173908
ES,GA,2040,705781.4011119447,0.0,70578.14011119447,218792.23434470285,416411.0266560473
ES,GA,2050,705781.4011119447,0.0,282312.5604447779,0.0,423468.8406671668
FI,DE,2019,72684.70000203623,0.0,0.0,72684.70000203623,0.0
FI,DE,2030,80680.01700226023,0.0,4226.096128689822,51519.953714300456,24933.96715926994
FI,DE,2040,87948.48700246385,0.0,8794.848700246386,27264.030970763793,51889.60733145367
FI,DE,2050,94490.11000264711,0.0,37796.04400105884,0.0,56694.06600158827
FI,GA,2019,72684.70000203623,0.0,0.0,72684.70000203623,0.0
FI,GA,2030,82202.93452611241,0.0,4305.867998986841,52492.44533310321,25404.62119402236
FI,GA,2040,90855.8750025453,0.0,9085.58750025453,28165.321250789046,53604.966251501726
FI,GA,2050,101758.58000285072,0.0,40703.43200114029,0.0,61055.14800171043
FR,DE,2019,1514837.6823155,0.0,0.0,1514837.6823155,0.0
FR,DE,2030,1832232.2443244618,0.0,287922.20982241543,1215509.979685168,328800.05481783784
FR,DE,2040,2120772.7552417,0.0,636231.82657251,757979.8912893023,726561.0373820083
FR,DE,2050,2438888.6685279547,0.0,975555.4674111819,0.0,1463333.2011167728
FR,GA,2019,1514837.6823155,0.0,0.0,1514837.6823155,0.0
FR,GA,2030,1832232.2443244618,0.0,287922.20982241543,1215502.8708848478,328807.1636171984
FR,GA,2040,2120772.7552417,0.0,636231.82657251,757964.1827233838,726576.7459458064
FR,GA,2050,2438888.6685279547,0.0,975555.4674111819,0.0,1463333.2011167728
GR,DE,2019,336395.2196172443,0.0,0.0,336395.2196172443,0.0
GR,DE,2030,311726.2368453131,0.0,16328.51716808783,199059.4683855071,96338.25129171819
GR,DE,2040,289299.8888708301,0.0,28929.988887083015,89682.96554995734,170686.93443378978
GR,DE,2050,326303.363028727,0.0,130521.34521149081,0.0,195782.0178172362
GR,GA,2019,336395.2196172443,0.0,0.0,336395.2196172443,0.0
GR,GA,2030,327584.8686272689,0.0,17159.207404285513,209186.33753769883,101239.32368528451
GR,GA,2040,319575.4586363821,0.0,31957.545863638214,99068.39217727845,188549.52059546544
GR,GA,2050,353214.9805981065,0.0,141285.99223924262,0.0,211928.9883588639
HR,DE,2019,69509.56497754047,0.0,0.0,69509.56497754047,0.0
HR,DE,2030,69509.56497754047,0.0,3640.977213109263,44386.82220708656,21481.76555734465
HR,DE,2040,69509.56497754047,0.0,6950.956497754048,21547.965143037545,41010.64333674888
HR,DE,2050,69509.56497754047,0.0,27803.82599101619,0.0,41705.73898652428
HR,GA,2019,69509.56497754047,0.0,0.0,69509.56497754047,0.0
HR,GA,2030,69509.56497754047,0.0,3640.977213109263,44386.82220708656,21481.76555734465
HR,GA,2040,69509.56497754047,0.0,6950.956497754048,21547.965143037545,41010.64333674888
HR,GA,2050,69509.56497754047,0.0,27803.82599101619,0.0,41705.73898652428
HU,DE,2019,290041.30670809676,0.0,0.0,290041.30670809676,0.0
HU,DE,2030,290041.30670809676,0.0,15192.639875186022,185212.09156931323,89636.57526359751
HU,DE,2040,290041.30670809676,0.0,29004.130670809678,89912.80507951,171124.37095777708
HU,DE,2050,290041.30670809676,0.0,116016.52268323871,0.0,174024.78402485806
HU,GA,2019,290041.30670809676,0.0,0.0,290041.30670809676,0.0
HU,GA,2030,290041.30670809676,0.0,15192.639875186022,185212.09156931323,89636.57526359751
HU,GA,2040,290041.30670809676,0.0,29004.130670809678,89912.80507951,171124.37095777708
HU,GA,2050,290041.30670809676,0.0,116016.52268323871,0.0,174024.78402485806
IE,DE,2019,0.0,0.0,0.0,0.0,0.0
IE,DE,2030,0.0,0.0,0.0,0.0,0.0
IE,DE,2040,0.0,0.0,0.0,0.0,0.0
IE,DE,2050,0.0,0.0,0.0,0.0,0.0
IE,GA,2019,0.0,0.0,0.0,0.0,0.0
IE,GA,2030,0.0,0.0,0.0,0.0,0.0
IE,GA,2040,0.0,0.0,0.0,0.0,0.0
IE,GA,2050,0.0,0.0,0.0,0.0,0.0
IT,DE,2019,1159678.323160411,0.0,0.0,1159678.323160411,0.0
IT,DE,2030,1159678.323160411,0.0,60745.055022688204,740537.4435038625,358395.8246338603
IT,DE,2040,1159678.323160411,0.0,115967.83231604111,359500.2801797274,684210.2106646425
IT,DE,2050,1159678.323160411,0.0,463871.32926416444,0.0,695806.9938962467
IT,GA,2019,1159678.323160411,0.0,0.0,1159678.323160411,0.0
IT,GA,2030,1159678.323160411,0.0,60745.055022688204,740537.4435038625,358395.8246338603
IT,GA,2040,1159678.323160411,0.0,115967.83231604111,359500.2801797274,684210.2106646425
IT,GA,2050,1159678.323160411,0.0,463871.32926416444,0.0,695806.9938962467
LT,DE,2019,0.0,0.0,0.0,0.0,0.0
LT,DE,2030,0.0,0.0,0.0,0.0,0.0
LT,DE,2040,0.0,0.0,0.0,0.0,0.0
LT,DE,2050,0.0,0.0,0.0,0.0,0.0
LT,GA,2019,0.0,0.0,0.0,0.0,0.0
LT,GA,2030,0.0,0.0,0.0,0.0,0.0
LT,GA,2040,0.0,0.0,0.0,0.0,0.0
LT,GA,2050,0.0,0.0,0.0,0.0,0.0
LU,DE,2019,0.0,0.0,0.0,0.0,0.0
LU,DE,2030,0.0,0.0,0.0,0.0,0.0
LU,DE,2040,0.0,0.0,0.0,0.0,0.0
LU,DE,2050,0.0,0.0,0.0,0.0,0.0
LU,GA,2019,0.0,0.0,0.0,0.0,0.0
LU,GA,2030,0.0,0.0,0.0,0.0,0.0
LU,GA,2040,0.0,0.0,0.0,0.0,0.0
LU,GA,2050,0.0,0.0,0.0,0.0,0.0
LV,DE,2019,0.0,0.0,0.0,0.0,0.0
LV,DE,2030,0.0,0.0,0.0,0.0,0.0
LV,DE,2040,0.0,0.0,0.0,0.0,0.0
LV,DE,2050,0.0,0.0,0.0,0.0,0.0
LV,GA,2019,0.0,0.0,0.0,0.0,0.0
LV,GA,2030,0.0,0.0,0.0,0.0,0.0
LV,GA,2040,0.0,0.0,0.0,0.0,0.0
LV,GA,2050,0.0,0.0,0.0,0.0,0.0
MT,DE,2019,0.0,0.0,0.0,0.0,0.0
MT,DE,2030,0.0,0.0,0.0,0.0,0.0
MT,DE,2040,0.0,0.0,0.0,0.0,0.0
MT,DE,2050,0.0,0.0,0.0,0.0,0.0
MT,GA,2019,0.0,0.0,0.0,0.0,0.0
MT,GA,2030,0.0,0.0,0.0,0.0,0.0
MT,GA,2040,0.0,0.0,0.0,0.0,0.0
MT,GA,2050,0.0,0.0,0.0,0.0,0.0
NL,DE,2019,86548.19217952187,0.0,0.0,55638.12354405253,30910.068635555886
NL,DE,2030,41213.42484739137,0.0,3597.9974080315446,21868.347878862874,15747.079562696963
NL,DE,2040,0.0,0.0,0.0,0.0,0.0
NL,DE,2050,0.0,0.0,0.0,0.0,0.0
NL,GA,2019,86548.19217952187,0.0,0.0,55638.12354405253,30910.068635555886
NL,GA,2030,41213.42484739137,0.0,3597.9974080315446,21868.347878862874,15747.079562696963
NL,GA,2040,0.0,0.0,0.0,0.0,0.0
NL,GA,2050,0.0,0.0,0.0,0.0,0.0
PL,DE,2019,789003.3140918836,0.0,0.0,789003.3140918836,0.0
PL,DE,2030,789003.3140918836,0.0,41328.74502386057,503834.9734272457,243839.59564077735
PL,DE,2040,789003.3140918836,0.0,78900.33140918837,244591.02736848392,465511.9553142113
PL,DE,2050,789003.3140918836,0.0,315601.32563675346,0.0,473401.98845513014
PL,GA,2019,789003.3140918836,0.0,0.0,789003.3140918836,0.0
PL,GA,2030,789003.3140918836,0.0,41328.74502386057,503834.9734272457,243839.59564077735
PL,GA,2040,789003.3140918836,0.0,78900.33140918837,244591.02736848392,465511.9553142113
PL,GA,2050,789003.3140918836,0.0,315601.32563675346,0.0,473401.98845513014
PT,DE,2019,126707.3504631582,0.0,0.0,126707.3504631582,0.0
PT,DE,2030,126707.3504631582,0.0,6637.051690927335,80911.6937957596,39158.604976471266
PT,DE,2040,126707.3504631582,0.0,12670.735046315822,39279.27864357904,74757.33677326333
PT,DE,2050,126707.3504631582,0.0,50682.94018526329,0.0,76024.41027789492
PT,GA,2019,126707.3504631582,0.0,0.0,126707.3504631582,0.0
PT,GA,2030,126707.3504631582,0.0,6637.051690927335,80911.6937957596,39158.604976471266
PT,GA,2040,126707.3504631582,0.0,12670.735046315822,39279.27864357904,74757.33677326333
PT,GA,2050,126707.3504631582,0.0,50682.94018526329,0.0,76024.41027789492
RO,DE,2019,541255.6253889541,0.0,0.0,541255.6253889541,0.0
RO,DE,2030,541255.6253889541,0.0,28351.485139421406,345630.3779269464,167273.76232258626
RO,DE,2040,541255.6253889541,0.0,54125.56253889541,167789.24387057577,319340.81897948286
RO,DE,2050,541255.6253889541,0.0,216502.25015558163,0.0,324753.37523337244
RO,GA,2019,541255.6253889541,0.0,0.0,541255.6253889541,0.0
RO,GA,2030,541255.6253889541,0.0,28351.485139421406,345630.3779269464,167273.76232258626
RO,GA,2040,541255.6253889541,0.0,54125.56253889541,167789.24387057577,319340.81897948286
RO,GA,2050,541255.6253889541,0.0,216502.25015558163,0.0,324753.37523337244
SE,DE,2019,633705.671936691,0.0,0.0,633705.671936691,0.0
SE,DE,2030,5280880.599472425,0.0,0.0,5280880.599472425,0.0
SE,DE,2040,9505585.079050364,0.0,0.0,9505585.079050364,0.0
SE,DE,2050,12674113.43873382,0.0,0.0,12674113.43873382,0.0
SE,GA,2019,633705.671936691,0.0,0.0,633705.671936691,0.0
SE,GA,2030,3621175.2682096628,0.0,0.0,3621175.2682096628,0.0
SE,GA,2040,6337056.719366909,0.0,0.0,6337056.719366909,0.0
SE,GA,2050,8871879.407113675,0.0,0.0,8871879.407113675,0.0
SI,DE,2019,235331.40746215402,0.0,0.0,235331.40746215402,0.0
SI,DE,2030,235331.40746215402,0.0,12326.883248017592,150275.91305083263,72728.61116330378
SI,DE,2040,235331.40746215402,0.0,23533.140746215402,72952.73631326774,138845.53040267088
SI,DE,2050,235331.40746215402,0.0,94132.56298486161,0.0,141198.8444772924
SI,GA,2019,235331.40746215402,0.0,0.0,235331.40746215402,0.0
SI,GA,2030,235331.40746215402,0.0,12326.883248017592,150275.91305083263,72728.61116330378
SI,GA,2040,235331.40746215402,0.0,23533.140746215402,72952.73631326774,138845.53040267088
SI,GA,2050,235331.40746215402,0.0,94132.56298486161,0.0,141198.8444772924
SK,DE,2019,271815.5298981492,0.0,0.0,271815.5298981492,0.0
SK,DE,2030,271815.5298981492,0.0,14237.956327998292,173573.63123496098,84003.9423351899
SK,DE,2040,271815.5298981492,0.0,27181.55298981492,84262.81426842626,160371.16263990803
SK,DE,2050,271815.5298981492,0.0,108726.21195925969,0.0,163089.31793888952
SK,GA,2019,271815.5298981492,0.0,0.0,271815.5298981492,0.0
SK,GA,2030,271815.5298981492,0.0,14237.956327998292,173573.63123496098,84003.9423351899
SK,GA,2040,271815.5298981492,0.0,27181.55298981492,84262.81426842626,160371.16263990803
SK,GA,2050,271815.5298981492,0.0,108726.21195925969,0.0,163089.31793888952
