country,scenario,year,olefins_production
AT,DE,2019,756221.2142857142
AT,DE,2030,756221.2142857142
AT,DE,2040,756221.2142857142
AT,DE,2050,756221.2142857142
AT,GA,2019,756221.2142857142
AT,GA,2030,756221.2142857142
AT,GA,2040,756221.2142857142
AT,GA,2050,756221.2142857142
BE,DE,2019,4033928.571428571
BE,DE,2030,4090979.8469387745
BE,DE,2040,4142844.6428571427
BE,DE,2050,4163014.2857142854
BE,GA,2019,4033928.571428571
BE,GA,2030,4090979.8469387745
BE,GA,2040,4142844.6428571427
BE,GA,2050,4163014.2857142854
BG,DE,2019,0.0
BG,DE,2030,0.0
BG,DE,2040,0.0
BG,DE,2050,0.0
BG,GA,2019,0.0
BG,GA,2030,0.0
BG,GA,2040,0.0
BG,GA,2050,0.0
CY,DE,2019,0.0
CY,DE,2030,0.0
CY,DE,2040,0.0
CY,DE,2050,0.0
CY,GA,2019,0.0
CY,GA,2030,0.0
CY,GA,2040,0.0
CY,GA,2050,0.0
CZ,DE,2019,654416.6428571427
CZ,DE,2030,671556.126360544
CZ,DE,2040,687137.4749999999
CZ,DE,2050,719858.307142857
CZ,GA,2019,654416.6428571427
CZ,GA,2030,654416.6428571427
CZ,GA,2040,654416.6428571427
CZ,GA,2050,687137.4749999999
DE,DE,2019,11021052.037907584
DE,DE,2030,10790134.757113328
DE,DE,2040,10580209.95639128
DE,DE,2050,10580209.95639128
DE,GA,2019,11021052.037907584
DE,GA,2030,10790134.757113328
DE,GA,2040,10580209.95639128
DE,GA,2050,10580209.95639128
DK,DE,2019,0.0
DK,DE,2030,0.0
DK,DE,2040,0.0
DK,DE,2050,0.0
DK,GA,2019,0.0
DK,GA,2030,0.0
DK,GA,2040,0.0
DK,GA,2050,0.0
EE,DE,2019,0.0
EE,DE,2030,0.0
EE,DE,2040,0.0
EE,DE,2050,0.0
EE,GA,2019,0.0
EE,GA,2030,0.0
EE,GA,2040,0.0
EE,GA,2050,0.0
ES,DE,2019,1800732.142857143
ES,DE,2030,1847894.175170068
ES,DE,2040,1890768.7500000002
ES,DE,2050,1980805.3571428575
ES,GA,2019,1800732.142857143
ES,GA,2030,1800732.142857143
ES,GA,2040,1800732.142857143
ES,GA,2050,1890768.7500000002
FI,DE,2019,760061.5933764185
FI,DE,2030,839687.0936349004
FI,DE,2040,912073.9120517022
FI,DE,2050,1026083.151058165
FI,GA,2019,760061.5933764185
FI,GA,2030,760061.5933764185
FI,GA,2040,760061.5933764185
FI,GA,2050,760061.5933764185
FR,DE,2019,5738129.428571427
FR,DE,2030,5738129.428571427
FR,DE,2040,5738129.428571427
FR,DE,2050,5451222.957142856
FR,GA,2019,5738129.428571427
FR,GA,2030,5738129.428571427
FR,GA,2040,5738129.428571427
FR,GA,2050,5451222.957142856
GR,DE,2019,3492.071428571428
GR,DE,2030,3583.5304421768697
GR,DE,2040,3666.6749999999997
GR,DE,2050,3841.278571428571
GR,GA,2019,3492.071428571428
GR,GA,2030,3492.071428571428
GR,GA,2040,3492.071428571428
GR,GA,2050,3666.6749999999997
HR,DE,2019,0.0
HR,DE,2030,0.0
HR,DE,2040,0.0
HR,DE,2050,0.0
HR,GA,2019,0.0
HR,GA,2030,0.0
HR,GA,2040,0.0
HR,GA,2050,0.0
HU,DE,2019,838928.5714285712
HU,DE,2030,860900.5102040814
HU,DE,2040,880874.9999999999
HU,DE,2050,922821.4285714284
HU,GA,2019,838928.5714285712
HU,GA,2030,838928.5714285712
HU,GA,2040,838928.5714285712
HU,GA,2050,880874.9999999999
IE,DE,2019,0.0
IE,DE,2030,0.0
IE,DE,2040,0.0
IE,DE,2050,0.0
IE,GA,2019,0.0
IE,GA,2030,0.0
IE,GA,2040,0.0
IE,GA,2050,0.0
IT,DE,2019,2019801.571428571
IT,DE,2030,2072701.136394557
IT,DE,2040,2120791.6499999994
IT,DE,2050,2221781.728571428
IT,GA,2019,2019801.571428571
IT,GA,2030,2019801.571428571
IT,GA,2040,2019801.571428571
IT,GA,2050,2019801.571428571
LT,DE,2019,0.0
LT,DE,2030,0.0
LT,DE,2040,0.0
LT,DE,2050,0.0
LT,GA,2019,0.0
LT,GA,2030,0.0
LT,GA,2040,0.0
LT,GA,2050,0.0
LU,DE,2019,0.0
LU,DE,2030,0.0
LU,DE,2040,0.0
LU,DE,2050,0.0
LU,GA,2019,0.0
LU,GA,2030,0.0
LU,GA,2040,0.0
LU,GA,2050,0.0
LV,DE,2019,0.0
LV,DE,2030,0.0
LV,DE,2040,0.0
LV,DE,2050,0.0
LV,GA,2019,0.0
LV,GA,2030,0.0
LV,GA,2040,0.0
LV,GA,2050,0.0
MT,DE,2019,0.0
MT,DE,2030,0.0
MT,DE,2040,0.0
MT,DE,2050,0.0
MT,GA,2019,0.0
MT,GA,2030,0.0
MT,GA,2040,0.0
MT,GA,2050,0.0
NL,DE,2019,5269000.5
NL,DE,2030,2509047.8571428573
NL,DE,2040,0.0
NL,DE,2050,0.0
NL,GA,2019,5269000.5
NL,GA,2030,2509047.8571428573
NL,GA,2040,0.0
NL,GA,2050,0.0
PL,DE,2019,989960.3571428575
PL,DE,2030,1015887.8903061227
PL,DE,2040,1039458.3750000005
PL,DE,2050,1088956.3928571434
PL,GA,2019,989960.3571428575
PL,GA,2030,989960.3571428575
PL,GA,2040,989960.3571428575
PL,GA,2050,1039458.3750000005
PT,DE,2019,871865.0714285712
PT,DE,2030,894699.632823129
PT,DE,2040,915458.3249999998
PT,DE,2050,959051.5785714284
PT,GA,2019,871865.0714285712
PT,GA,2030,871865.0714285712
PT,GA,2040,871865.0714285712
PT,GA,2050,915458.3249999998
RO,DE,2019,0.0
RO,DE,2030,0.0
RO,DE,2040,0.0
RO,DE,2050,0.0
RO,GA,2019,0.0
RO,GA,2030,0.0
RO,GA,2040,0.0
RO,GA,2050,0.0
SE,DE,2019,748642.6428571427
SE,DE,2030,787857.2574829931
SE,DE,2040,823506.9071428571
SE,DE,2050,823506.9071428571
SE,GA,2019,748642.6428571427
SE,GA,2030,787857.2574829931
SE,GA,2040,823506.9071428571
SE,GA,2050,823506.9071428571
SI,DE,2019,1827.357142857143
SI,DE,2030,1875.2164965986394
SI,DE,2040,1918.7250000000001
SI,DE,2050,2010.0928571428574
SI,GA,2019,1827.357142857143
SI,GA,2030,1827.357142857143
SI,GA,2040,1827.357142857143
SI,GA,2050,1918.7250000000001
SK,DE,2019,241071.42857142864
SK,DE,2030,247385.2040816327
SK,DE,2040,253125.0000000001
SK,DE,2050,265178.57142857154
SK,GA,2019,241071.42857142864
SK,GA,2030,241071.42857142864
SK,GA,2040,241071.42857142864
SK,GA,2050,253125.0000000001
